transcript_id	gene_name	baseMean	gcn2ko_arg_6h.vs.gcn2ko_rich_6h	gcn2ko_leu_6h.vs.gcn2ko_rich_6h	hct116_arg_3h.vs.hct116_rich_3h	hct116_leu_3h.vs.hct116_rich_3h	hela_arg_mono_3h.vs.hela_rich_mono_3h	hela_leu_mono_3h.vs.hela_rich_mono_3h	hrgfp_arg_6h.vs.hrgfp_rich_6h	hrgfp_leu_6h.vs.hrgfp_rich_6h	ragbq99l_arg_6h.vs.ragbq99l_rich_6h	ragbq99l_leu_6h.vs.ragbq99l_rich_6h	X293t_arg_6h.vs.X293t_rich_6h	X293t_hrgfp_arg_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_argtorin1_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_leu_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_leutorin1_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_richtorin1_3h.vs.X293t_hrgfp_rich_3h	X293t_leu_6h.vs.X293t_rich_6h
ENST00000000233.9	ARF5	637	-0.039	0.616	-0.705	-0.323	-0.599	-0.265	-0.405	0.393	-0.55	-0.121	-0.546	-0.186	-0.402	0.044	-0.191	-0.367	-0.097
ENST00000000412.7	M6PR	591	-0.214	-0.397	-0.382	-0.341	-0.903	-0.177	-0.556	-0.321	-0.729	-0.809	-0.692	-0.568	-0.441	-0.4	-0.313	-0.555	-0.402
ENST00000000442.10	ESRRA	64	-0.445	-0.221	-1.332	-0.657	-0.672	-0.534	-0.288	0.086	-0.625	-0.264	-0.87	-0.823	-1.009	-0.355	-0.555	-0.654	-0.657
ENST00000001008.5	FKBP4	2029	0.004	-0.392	0.259	0.117	-0.477	-0.374	-0.738	-1.04	-0.413	-0.699	-0.633	-0.349	-0.728	-0.505	-0.848	-0.749	-0.945
ENST00000002125.8	NDUFAF7	135	-0.102	-0.096	0.069	0.176	0.42	-0.034	-0.461	-0.425	-0.552	-0.813	-0.441	-0.369	0.004	-0.164	0.067	-0.153	-0.637
ENST00000002165.10	FUCA2	788	-0.656	-0.424	-0.162	0.106	-0.188	-0.1	-0.159	0.092	-0.36	-0.294	-0.508	-0.229	-0.011	0.119	0.006	-0.249	-0.151
ENST00000002829.7	SEMA3F	63	-1.307	0.261	0.498	1.517	-1.064	-0.039	-0.638	-0.214	-1.04	-1.213	-0.85	-0.188	0.568	0.302	0.856	0.621	0.078
ENST00000003100.12	CYP51A1	1705	-0.623	-0.633	0.412	0.284	0.173	0.323	-0.148	-0.42	-0.122	-0.324	-0.313	-0.138	-0.22	-0.094	-0.276	-0.341	-0.406
ENST00000003302.8	USP28	197	0.132	0.265	0.177	0.425	0.102	0.154	0.346	0.34	0.297	0.341	0.729	0.25	0.614	0.068	0.419	0.578	0.634
ENST00000003583.12	STPG1	50	0.038	0.747	0.225	0.038	0.017	-0.51	0.38	0.286	0.258	0.291	0.184	0.708	0.748	0.674	0.551	0.56	0.5
